Role	Famille	Sous-famille	Compétence	Type	Niveau
Product Manager	Stratégie	Vision	Formuler la mission de l'entreprise	Savoir-faire	Facile
Product Manager	Stratégie	Marché	Lister les concurrents directs	Savoir-faire	Facile
Product Manager	Stratégie	Vision	Expliciter les choix tactiques	Savoir-être	Moyen
Product Manager	Stratégie	Marché	Réaliser la matrice SWOT	Savoir-faire	Moyen
Product Manager	Stratégie	Vision	Construire la Roadmap du produit	Savoir-faire	Difficile
Product Manager	Stratégie	Marché	Calculer le TAM, SAM et SOM	Savoir-faire	Difficile
Product Manager	Stratégie	Marché	Détecter les signaux faibles	Savoir-être	Difficile
Product Manager	Stratégie	Vision	Hiérarchiser avec la valeur business	Savoir-faire	Expert
Product Manager	Stratégie	Vision	Définir les OKR stratégiques	Savoir-faire	Expert
Product Manager	Stratégie	Vision	Évangéliser la vision en interne	Savoir-être	Expert
Product Manager	Exploration	Utilisateur	Décrire le persona type	Savoir-faire	Facile
Product Manager	Exploration	Problème	Identifier les points de friction	Savoir-faire	Facile
Product Manager	Exploration	Utilisateur	Valoriser l'empathie active	Savoir-être	Moyen
Product Manager	Exploration	Utilisateur	Mener les entretiens exploratoires	Savoir-faire	Moyen
Product Manager	Exploration	Problème	Appliquer la méthode des 5 Pourquoi	Savoir-faire	Moyen
Product Manager	Exploration	Utilisateur	Segmenter la base utilisateurs	Savoir-faire	Difficile
Product Manager	Exploration	Problème	Construire la carte des opportunités	Savoir-faire	Difficile
Product Manager	Exploration	Problème	Questionner les biais cognitifs	Savoir-être	Difficile
Product Manager	Exploration	Problème	Formaliser le problème du produit	Savoir-faire	Expert
Product Manager	Exploration	Utilisateur	Instaurer la conception continue	Savoir-faire	Expert
Product Manager	Exécution	Backlog	Rédiger les User Stories avec INVEST	Savoir-faire	Facile
Product Manager	Exécution	Agilité	Actualiser le tableau de tâches	Savoir-faire	Facile
Product Manager	Exécution	Agilité	Favoriser la réactivité d'action	Savoir-être	Moyen
Product Manager	Exécution	Backlog	Utiliser l'échelle MoSCoW	Savoir-faire	Moyen
Product Manager	Exécution	Backlog	Découper une Epic complexe	Savoir-faire	Difficile
Product Manager	Exécution	Agilité	Calculer la vélocité de l'équipe	Savoir-faire	Difficile
Product Manager	Exécution	Backlog	Refuser une demande hors périmètre	Savoir-être	Difficile
Product Manager	Exécution	Backlog	Planifier les versions du produit	Savoir-faire	Expert
Product Manager	Exécution	Agilité	Réduire le temps de cycle global	Savoir-faire	Expert
Product Manager	Exécution	Agilité	Optimiser le flux de production	Savoir-faire	Expert
Product Manager	Analytique	Métriques	Définir les indicateurs clés	Savoir-faire	Facile
Product Manager	Analytique	Expérimentation	Formuler les hypothèses testables	Savoir-faire	Facile
Product Manager	Analytique	Métriques	Analyser le tunnel de conversion	Savoir-faire	Moyen
Product Manager	Analytique	Métriques	Privilégier la rigueur chiffrée	Savoir-être	Moyen
Product Manager	Analytique	Expérimentation	Exécuter les tests A/B standards	Savoir-faire	Moyen
Product Manager	Analytique	Métriques	Interpréter l'analyse de cohorte	Savoir-faire	Difficile
Product Manager	Analytique	Expérimentation	Vérifier la significativité statistique	Savoir-faire	Difficile
Product Manager	Analytique	Métriques	Questionner la qualité des données	Savoir-être	Difficile
Product Manager	Analytique	Métriques	Corréler la North Star Metric	Savoir-faire	Expert
Product Manager	Analytique	Expérimentation	Systématiser l'apprentissage rapide	Savoir-faire	Expert
Product Manager	Leadership	Communication	Animer les rituels d'équipe	Savoir-faire	Facile
Product Manager	Leadership	Alignement	Identifier les parties prenantes	Savoir-faire	Facile
Product Manager	Leadership	Communication	Pratiquer l'écoute active	Savoir-être	Moyen
Product Manager	Leadership	Communication	Synthétiser les décisions clés	Savoir-faire	Moyen
Product Manager	Leadership	Alignement	Faciliter la prise de décision	Savoir-faire	Moyen
Product Manager	Leadership	Alignement	Négocier avec les parties prenantes	Savoir-faire	Difficile
Product Manager	Leadership	Communication	Vulgariser les sujets techniques	Savoir-faire	Difficile
Product Manager	Leadership	Alignement	Désamorcer les conflits internes	Savoir-être	Difficile
Product Manager	Leadership	Alignement	Aligner la stratégie globale	Savoir-faire	Expert
Product Manager	Leadership	Communication	Influencer sans autorité directe	Savoir-être	Expert